Date,Open,High,Low,Close,Volume
04/30/2024,"95.73","97.84","93.78","96.51","16,731,850"
04/29/2024,"91.56","92.62","91.56","92.16","4,957,288"
04/26/2024,"91.50","92.19","91.08","91.83","4,520,901"
04/25/2024,"91.59","92.00","90.65","91.41","2,954,822"
04/24/2024,"92.59","93.23","91.42","92.02","3,813,358"
04/23/2024,"92.98","94.04","92.79","93.00","3,729,824"
04/22/2024,"92.54","92.71","91.70","92.62","2,992,931"
04/19/2024,"91.24","92.40","91.10","92.27","3,588,522"
04/18/2024,"91.40","92.43","90.87","91.48","3,069,409"
04/17/2024,"91.73","92.11","90.33","90.96","3,421,571"
04/16/2024,"90.94","91.33","90.17","91.05","3,036,971"
04/15/2024,"91.98","92.78","90.75","91.30","3,675,020"
04/12/2024,"92.76","92.81","91.15","91.31","3,590,782"
04/11/2024,"92.84","93.56","92.48","93.18","2,993,671"
04/10/2024,"91.78","92.71","90.57","92.63","3,494,855"
04/09/2024,"92.10","93.20","92.00","92.61","4,237,654"
04/08/2024,"91.20","92.89","91.20","91.93","3,706,736"
04/05/2024,"90.43","91.42","89.54","91.03","3,514,007"
04/04/2024,"94.49","95.67","90.23","90.54","5,864,178"
04/03/2024,"93.34","94.70","92.50","93.19","6,060,218"
04/02/2024,"93.10","94.42","91.90","92.84","8,911,976"
04/01/2024,"91.05","94.34","88.23","94.02","13,004,810"
03/28/2024,"87.46","88.84","87.45","88.68","4,386,102"
03/27/2024,"86.12","87.59","86.11","87.45","3,881,023"
03/26/2024,"87.00","87.51","85.61","85.81","6,086,736"
03/25/2024,"88.54","89.30","87.60","87.65","5,585,278"
03/22/2024,"89.96","90.40","89.25","89.28","4,449,245"
03/21/2024,"90.46","91.29","90.12","90.19","6,594,170"
03/20/2024,"87.78","91.22","87.32","90.39","7,015,254"
03/19/2024,"88.45","89.46","87.41","88.06","5,842,707"
03/18/2024,"87.39","88.87","87.30","87.62","5,537,228"
03/15/2024,"86.12","88.24","85.93","87.79","26,838,609"
